         City 1,             to,         City 2,             X1,             Y1,             X2,             Y2,       Distance,          Coins,            Bux
       Shanghai,             to,        Beijing,           2323,           1052,           2295,            966,            361,            140,              1
          Delhi,             to,        Kolkata,           1993,           1068,           2074,           1122,            389,            147,              1
        Kolkata,             to,          Delhi,           2074,           1122,           1993,           1068,            389,            147,              1
          Tokyo,             to,          Seoul,           2467,           1014,           2372,            989,            392,            148,              1
          Seoul,             to,          Tokyo,           2372,            989,           2467,           1014,            392,            148,              1
         Manila,             to,      Guangzhou,           2326,           1182,           2265,           1105,            392,            148,              1
      Guangzhou,             to,         Manila,           2265,           1105,           2326,           1182,            392,            148,              1
       Kinshasa,             to,          Lagos,           1526,           1312,           1452,           1241,            410,            152,              1
          Lagos,             to,       Kinshasa,           1452,           1241,           1526,           1312,            410,            152,              1
      Bangalore,             to,        Kolkata,           2001,           1195,           2074,           1122,            412,            153,              1
        Kolkata,             to,      Bangalore,           2074,           1122,           2001,           1195,            412,            153,              1
       Istanbul,             to,          Cairo,           1642,            958,           1646,           1063,            420,            155,              1
          Cairo,             to,       Istanbul,           1646,           1063,           1642,            958,            420,            155,              1
       Shanghai,             to,       Shenyang,           2323,           1052,           2345,            948,            425,            156,              1
       Shenyang,             to,       Shanghai,           2345,            948,           2323,           1052,            425,            156,              1
        Kolkata,             to,         Mumbai,           2074,           1122,           1970,           1147,            427,            156,              1
         Mumbai,             to,        Kolkata,           1970,           1147,           2074,           1122,            427,            156,              1
          Delhi,             to,          Dhaka,           1993,           1068,           2094,           1109,            436,            159,              1
          Dhaka,             to,          Delhi,           2094,           1109,           1993,           1068,            436,            159,              1
          Dhaka,             to,        Bangkok,           2094,           1109,           2170,           1188,            438,            159,              1
        Bangkok,             to,          Dhaka,           2170,           1188,           2094,           1109,            438,            159,              1
        Chicago,             to,       New York,            757,            931,            864,            956,            439,            159,              1
       New York,             to,        Chicago,            864,            956,            757,            931,            439,            159,              1
        Kolkata,             to,        Bangkok,           2074,           1122,           2170,           1188,            465,            166,              1
        Bangkok,             to,        Kolkata,           2170,           1188,           2074,           1122,            465,            166,              1
          Xi'an,             to,       Shenyang,           2250,           1021,           2345,            948,            479,            169,              1
       Shenyang,             to,          Xi'an,           2345,            948,           2250,           1021,            479,            169,              1
      Sao Paulo,             to,   Buenos Aires,           1062,           1480,            988,           1575,            481,            170,              1
   Buenos Aires,             to,      Sao Paulo,            988,           1575,           1062,           1480,            481,            170,              1
          Xi'an,             to,          Seoul,           2250,           1021,           2372,            989,            504,            176,              1
      Guangzhou,             to,        Bangkok,           2265,           1105,           2170,           1188,            504,            176,              1
        Bangkok,             to,      Guangzhou,           2170,           1188,           2265,           1105,            504,            176,              1
          Seoul,             to,          Xi'an,           2372,            989,           2250,           1021,            504,            176,              1
      Bangalore,             to,          Dhaka,           2001,           1195,           2094,           1109,            506,            176,              1
          Dhaka,             to,      Bangalore,           2094,           1109,           2001,           1195,            506,            176,              1
        Karachi,             to,      Bangalore,           1921,           1096,           2001,           1195,            509,            177,              1
          Delhi,             to,      Bangalore,           1993,           1068,           2001,           1195,            509,            177,              1
      Bangalore,             to,          Delhi,           2001,           1195,           1993,           1068,            509,            177,              1
      Bangalore,             to,        Karachi,           2001,           1195,           1921,           1096,            509,            177,              1
         Mumbai,             to,          Dhaka,           1970,           1147,           2094,           1109,            518,            179,              1
          Dhaka,             to,         Mumbai,           2094,           1109,           1970,           1147,            518,            179,              1
         Manila,             to,       Shanghai,           2326,           1182,           2323,           1052,            520,            180,              1
       Shanghai,             to,         Manila,           2323,           1052,           2326,           1182,            520,            180,              1
          Tokyo,             to,       Shenyang,           2467,           1014,           2345,            948,            554,            188,              1
       Shenyang,             to,          Tokyo,           2345,            948,           2467,           1014,            554,            188,              1
        Beijing,             to,      Guangzhou,           2295,            966,           2265,           1105,            568,            192,              1
      Guangzhou,             to,        Beijing,           2265,           1105,           2295,            966,            568,            192,              1
          Tokyo,             to,       Shanghai,           2467,           1014,           2323,           1052,            595,            198,              1
       Shanghai,             to,          Tokyo,           2323,           1052,           2467,           1014,            595,            198,              1
 Rio De Janeiro,             to,   Buenos Aires,           1094,           1466,            988,           1575,            608,            202,              1
   Buenos Aires,             to, Rio De Janeiro,            988,           1575,           1094,           1466,            608,            202,              1
        Karachi,             to,        Kolkata,           1921,           1096,           2074,           1122,            620,            205,              1
        Kolkata,             to,        Karachi,           2074,           1122,           1921,           1096,            620,            205,              1
         Manila,             to,        Bangkok,           2326,           1182,           2170,           1188,            624,            206,              1
        Bangkok,             to,         Manila,           2170,           1188,           2326,           1182,            624,            206,              1
          Seoul,             to,      Guangzhou,           2372,            989,           2265,           1105,            631,            207,              1
      Guangzhou,             to,          Seoul,           2265,           1105,           2372,            989,            631,            207,              1
        Karachi,             to,         Tehran,           1921,           1096,           1797,            997,            634,            208,              1
         Tehran,             to,        Karachi,           1797,            997,           1921,           1096,            634,            208,              1
         Tehran,             to,       Istanbul,           1797,            997,           1642,            958,            639,            209,              1
       Istanbul,             to,         Tehran,           1642,            958,           1797,            997,            639,            209,              1
        Jakarta,             to,        Bangkok,           2223,           1339,           2170,           1188,            640,            210,              1
        Bangkok,             to,        Jakarta,           2170,           1188,           2223,           1339,            640,            210,              1
         Tehran,             to,          Cairo,           1797,            997,           1646,           1063,            659,            214,              1
          Cairo,             to,         Tehran,           1646,           1063,           1797,            997,            659,            214,              1
        Bangkok,             to,      Bangalore,           2170,           1188,           2001,           1195,            676,            219,              1
      Bangalore,             to,        Bangkok,           2001,           1195,           2170,           1188,            676,            219,              1
      Guangzhou,             to,          Dhaka,           2265,           1105,           2094,           1109,            684,            221,              1
          Dhaka,             to,      Guangzhou,           2094,           1109,           2265,           1105,            684,            221,              1
          Dhaka,             to,        Karachi,           2094,           1109,           1921,           1096,            693,            223,              1
        Karachi,             to,          Dhaka,           1921,           1096,           2094,           1109,            693,            223,              1
      Guangzhou,             to,       Shenyang,           2265,           1105,           2345,            948,            704,            226,              1
       Shenyang,             to,      Guangzhou,           2345,            948,           2265,           1105,            704,            226,              1
         Manila,             to,          Xi'an,           2326,           1182,           2250,           1021,            712,            228,              1
          Xi'an,             to,         Manila,           2250,           1021,           2326,           1182,            712,            228,              1
        Beijing,             to,          Tokyo,           2295,            966,           2467,           1014,            714,            228,              1
          Tokyo,             to,        Beijing,           2467,           1014,           2295,            966,            714,            228,              1
          Dhaka,             to,          Xi'an,           2094,           1109,           2250,           1021,            716,            229,              1
          Xi'an,             to,          Dhaka,           2250,           1021,           2094,           1109,            716,            229,              1
          Xi'an,             to,        Bangkok,           2250,           1021,           2170,           1188,            740,            235,              1
        Bangkok,             to,          Xi'an,           2170,           1188,           2250,           1021,            740,            235,              1
        Jakarta,             to,         Manila,           2223,           1339,           2326,           1182,            751,            237,              1
         Manila,             to,        Jakarta,           2326,           1182,           2223,           1339,            751,            237,              1
      Guangzhou,             to,        Kolkata,           2265,           1105,           2074,           1122,            767,            241,              1
        Kolkata,             to,      Guangzhou,           2074,           1122,           2265,           1105,            767,            241,              1
         Moscow,             to,       Istanbul,           1719,            780,           1642,            958,            775,            243,              1
       Istanbul,             to,         Moscow,           1642,            958,           1719,            780,            775,            243,              1
         Manila,             to,          Seoul,           2326,           1182,           2372,            989,            793,            248,              1
          Seoul,             to,         Manila,           2372,            989,           2326,           1182,            793,            248,              1
    Mexico City,             to,    Los Angeles,            683,           1145,            526,           1023,            795,            248,              1
    Los Angeles,             to,    Mexico City,            526,           1023,            683,           1145,            795,            248,              1
        Kolkata,             to,          Xi'an,           2074,           1122,           2250,           1021,            811,            252,              1
          Xi'an,             to,        Kolkata,           2250,           1021,           2074,           1122,            811,            252,              1
         Mumbai,             to,        Bangkok,           1970,           1147,           2170,           1188,            816,            254,              1
        Bangkok,             to,         Mumbai,           2170,           1188,           1970,           1147,            816,            254,              1
       Shanghai,             to,        Bangkok,           2323,           1052,           2170,           1188,            818,            254,              1
        Bangkok,             to,       Shanghai,           2170,           1188,           2323,           1052,            818,            254,              1
          Delhi,             to,         Tehran,           1993,           1068,           1797,            997,            833,            258,              1
         Tehran,             to,          Delhi,           1797,            997,           1993,           1068,            833,            258,              1
          Delhi,             to,        Bangkok,           1993,           1068,           2170,           1188,            855,            263,              1
        Bangkok,             to,          Delhi,           2170,           1188,           1993,           1068,            855,            263,              1
          Tokyo,             to,          Xi'an,           2467,           1014,           2250,           1021,            868,            267,              1
          Xi'an,             to,          Tokyo,           2250,           1021,           2467,           1014,            868,            267,              1
        Beijing,             to,         Manila,           2295,            966,           2326,           1182,            872,            268,              1
         Manila,             to,        Beijing,           2326,           1182,           2295,            966,            872,            268,              1
         Manila,             to,          Tokyo,           2326,           1182,           2467,           1014,            877,            269,              1
          Tokyo,             to,         Manila,           2467,           1014,           2326,           1182,            877,            269,              1
      Guangzhou,             to,          Tokyo,           2265,           1105,           2467,           1014,            886,            271,              1
          Tokyo,             to,      Guangzhou,           2467,           1014,           2265,           1105,            886,            271,              1
       Istanbul,             to,          Paris,           1642,            958,           1436,            871,            894,            273,              1
          Paris,             to,       Istanbul,           1436,            871,           1642,            958,            894,            273,              1
        Chicago,             to,    Mexico City,            757,            931,            683,           1145,            905,            276,              1
    Mexico City,             to,        Chicago,            683,           1145,            757,            931,            905,            276,              1
         Mumbai,             to,         Tehran,           1970,           1147,           1797,            997,            915,            278,              1
         Tehran,             to,         Mumbai,           1797,            997,           1970,           1147,            915,            278,              1
         Tehran,             to,         Moscow,           1797,            997,           1719,            780,            922,            280,              2
         Moscow,             to,         Tehran,           1719,            780,           1797,            997,            922,            280,              2
       Shenyang,             to,         Manila,           2345,            948,           2326,           1182,            939,            284,              2
         Manila,             to,       Shenyang,           2326,           1182,           2345,            948,            939,            284,              2
          Dhaka,             to,       Shanghai,           2094,           1109,           2323,           1052,            943,            285,              2
       Shanghai,             to,          Dhaka,           2323,           1052,           2094,           1109,            943,            285,              2
      Guangzhou,             to,        Jakarta,           2265,           1105,           2223,           1339,            950,            287,              2
        Jakarta,             to,      Guangzhou,           2223,           1339,           2265,           1105,            950,            287,              2
          Dhaka,             to,         Manila,           2094,           1109,           2326,           1182,            972,            293,              2
         Manila,             to,          Dhaka,           2326,           1182,           2094,           1109,            972,            293,              2
          Dhaka,             to,        Beijing,           2094,           1109,           2295,            966,            986,            296,              2
        Beijing,             to,          Dhaka,           2295,            966,           2094,           1109,            986,            296,              2
        Chicago,             to,    Los Angeles,            757,            931,            526,           1023,            994,            298,              2
    Los Angeles,             to,        Chicago,            526,           1023,            757,            931,            994,            298,              2
        Beijing,             to,        Bangkok,           2295,            966,           2170,           1188,           1019,            304,              2
        Bangkok,             to,        Beijing,           2170,           1188,           2295,            966,           1019,            304,              2
           Lima,             to,      Sao Paulo,            837,           1357,           1062,           1480,           1025,            306,              2
      Sao Paulo,             to,           Lima,           1062,           1480,            837,           1357,           1025,            306,              2
       Istanbul,             to,         London,           1642,            958,           1410,            845,           1032,            308,              2
         London,             to,       Istanbul,           1410,            845,           1642,            958,           1032,            308,              2
        Kolkata,             to,       Shanghai,           2074,           1122,           2323,           1052,           1034,            308,              2
       Shanghai,             to,        Kolkata,           2323,           1052,           2074,           1122,           1034,            308,              2
        Kolkata,             to,         Manila,           2074,           1122,           2326,           1182,           1036,            309,              2
         Manila,             to,        Kolkata,           2326,           1182,           2074,           1122,           1036,            309,              2
          Delhi,             to,          Xi'an,           1993,           1068,           2250,           1021,           1045,            311,              2
          Xi'an,             to,          Delhi,           2250,           1021,           1993,           1068,           1045,            311,              2
    Mexico City,             to,       New York,            683,           1145,            864,            956,           1046,            311,              2
       New York,             to,    Mexico City,            864,            956,            683,           1145,           1046,            311,              2
    Mexico City,             to,           Lima,            683,           1145,            837,           1357,           1048,            312,              2
           Lima,             to,    Mexico City,            837,           1357,            683,           1145,           1048,            312,              2
        Kolkata,             to,        Jakarta,           2074,           1122,           2223,           1339,           1052,            313,              2
        Jakarta,             to,        Kolkata,           2223,           1339,           2074,           1122,           1052,            313,              2
          Lagos,             to,          Cairo,           1452,           1241,           1646,           1063,           1053,            313,              2
          Cairo,             to,          Lagos,           1646,           1063,           1452,           1241,           1053,            313,              2
        Jakarta,             to,          Dhaka,           2223,           1339,           2094,           1109,           1054,            313,              2
          Dhaka,             to,        Jakarta,           2094,           1109,           2223,           1339,           1054,            313,              2
        Jakarta,             to,      Bangalore,           2223,           1339,           2001,           1195,           1058,            314,              2
      Bangalore,             to,        Jakarta,           2001,           1195,           2223,           1339,           1058,            314,              2
   Buenos Aires,             to,           Lima,            988,           1575,            837,           1357,           1060,            315,              2
           Lima,             to,   Buenos Aires,            837,           1357,            988,           1575,           1060,            315,              2
        Karachi,             to,        Bangkok,           1921,           1096,           2170,           1188,           1061,            315,              2
        Bangkok,             to,        Karachi,           2170,           1188,           1921,           1096,           1061,            315,              2
        Kolkata,             to,        Beijing,           2074,           1122,           2295,            966,           1082,            320,              2
        Beijing,             to,        Kolkata,           2295,            966,           2074,           1122,           1082,            320,              2
          Delhi,             to,      Guangzhou,           1993,           1068,           2265,           1105,           1098,            324,              2
      Guangzhou,             to,          Delhi,           2265,           1105,           1993,           1068,           1098,            324,              2
       Kinshasa,             to,          Cairo,           1526,           1312,           1646,           1063,           1105,            326,              2
          Cairo,             to,       Kinshasa,           1646,           1063,           1526,           1312,           1105,            326,              2
          Cairo,             to,        Karachi,           1646,           1063,           1921,           1096,           1107,            326,              2
        Karachi,             to,          Cairo,           1921,           1096,           1646,           1063,           1107,            326,              2
      Guangzhou,             to,      Bangalore,           2265,           1105,           2001,           1195,           1115,            328,              2
      Bangalore,             to,      Guangzhou,           2001,           1195,           2265,           1105,           1115,            328,              2
           Lima,             to, Rio De Janeiro,            837,           1357,           1094,           1466,           1116,            329,              2
 Rio De Janeiro,             to,           Lima,           1094,           1466,            837,           1357,           1116,            329,              2
        Bangkok,             to,          Seoul,           2170,           1188,           2372,            989,           1134,            333,              2
          Seoul,             to,        Bangkok,           2372,            989,           2170,           1188,           1134,            333,              2
      Bangalore,             to,         Tehran,           2001,           1195,           1797,            997,           1137,            334,              2
         Tehran,             to,      Bangalore,           1797,            997,           2001,           1195,           1137,            334,              2
          Paris,             to,          Cairo,           1436,            871,           1646,           1063,           1138,            334,              2
          Cairo,             to,          Paris,           1646,           1063,           1436,            871,           1138,            334,              2
         Moscow,             to,          Cairo,           1719,            780,           1646,           1063,           1169,            342,              2
          Cairo,             to,         Moscow,           1646,           1063,           1719,            780,           1169,            342,              2
       Shenyang,             to,        Bangkok,           2345,            948,           2170,           1188,           1188,            347,              2
        Bangkok,             to,       Shenyang,           2170,           1188,           2345,            948,           1188,            347,              2
          Paris,             to,         Moscow,           1436,            871,           1719,            780,           1189,            347,              2
         Moscow,             to,          Paris,           1719,            780,           1436,            871,           1189,            347,              2
         Mumbai,             to,      Guangzhou,           1970,           1147,           2265,           1105,           1191,            347,              2
      Guangzhou,             to,         Mumbai,           2265,           1105,           1970,           1147,           1191,            347,              2
          Dhaka,             to,       Shenyang,           2094,           1109,           2345,            948,           1192,            348,              2
       Shenyang,             to,          Dhaka,           2345,            948,           2094,           1109,           1192,            348,              2
          Seoul,             to,          Dhaka,           2372,            989,           2094,           1109,           1211,            352,              2
          Dhaka,             to,          Seoul,           2094,           1109,           2372,            989,           1211,            352,              2
       Shanghai,             to,        Jakarta,           2323,           1052,           2223,           1339,           1215,            353,              2
        Kolkata,             to,         Tehran,           2074,           1122,           1797,            997,           1215,            353,              2
          Xi'an,             to,      Bangalore,           2250,           1021,           2001,           1195,           1215,            353,              2
        Jakarta,             to,       Shanghai,           2223,           1339,           2323,           1052,           1215,            353,              2
         Tehran,             to,        Kolkata,           1797,            997,           2074,           1122,           1215,            353,              2
      Bangalore,             to,          Xi'an,           2001,           1195,           2250,           1021,           1215,            353,              2
         Mumbai,             to,          Xi'an,           1970,           1147,           2250,           1021,           1228,            357,              2
          Xi'an,             to,         Mumbai,           2250,           1021,           1970,           1147,           1228,            357,              2
        Karachi,             to,       Istanbul,           1921,           1096,           1642,            958,           1245,            361,              2
       Istanbul,             to,        Karachi,           1642,            958,           1921,           1096,           1245,            361,              2
         Moscow,             to,         London,           1719,            780,           1410,            845,           1263,            365,              2
         London,             to,         Moscow,           1410,            845,           1719,            780,           1263,            365,              2
         Tehran,             to,          Dhaka,           1797,            997,           2094,           1109,           1269,            367,              2
          Dhaka,             to,         Tehran,           2094,           1109,           1797,            997,           1269,            367,              2
         Mumbai,             to,        Jakarta,           1970,           1147,           2223,           1339,           1270,            367,              2
        Jakarta,             to,         Mumbai,           2223,           1339,           1970,           1147,           1270,            367,              2
          Delhi,             to,        Beijing,           1993,           1068,           2295,            966,           1275,            368,              2
        Beijing,             to,          Delhi,           2295,            966,           1993,           1068,           1275,            368,              2
        Jakarta,             to,          Xi'an,           2223,           1339,           2250,           1021,           1276,            369,              2
          Xi'an,             to,        Jakarta,           2250,           1021,           2223,           1339,           1276,            369,              2
         London,             to,          Cairo,           1410,            845,           1646,           1063,           1285,            371,              2
          Cairo,             to,         London,           1646,           1063,           1410,            845,           1285,            371,              2
        Kolkata,             to,       Shenyang,           2074,           1122,           2345,            948,           1288,            372,              2
       Shenyang,             to,        Kolkata,           2345,            948,           2074,           1122,           1288,            372,              2
         Manila,             to,      Bangalore,           2326,           1182,           2001,           1195,           1301,            375,              2
      Bangalore,             to,         Manila,           2001,           1195,           2326,           1182,           1301,            375,              2
        Kolkata,             to,          Seoul,           2074,           1122,           2372,            989,           1305,            376,              2
          Seoul,             to,        Kolkata,           2372,            989,           2074,           1122,           1305,            376,              2
       Shanghai,             to,          Delhi,           2323,           1052,           1993,           1068,           1321,            380,              2
          Delhi,             to,       Shanghai,           1993,           1068,           2323,           1052,           1321,            380,              2
          Cairo,             to,         Mumbai,           1646,           1063,           1970,           1147,           1338,            384,              2
         Mumbai,             to,          Cairo,           1970,           1147,           1646,           1063,           1338,            384,              2
          Xi'an,             to,        Karachi,           2250,           1021,           1921,           1096,           1349,            387,              2
        Karachi,             to,          Xi'an,           1921,           1096,           2250,           1021,           1349,            387,              2
          Lagos,             to,       Istanbul,           1452,           1241,           1642,            958,           1363,            390,              2
       Istanbul,             to,          Lagos,           1642,            958,           1452,           1241,           1363,            390,              2
      Guangzhou,             to,        Karachi,           2265,           1105,           1921,           1096,           1376,            394,              2
        Bangkok,             to,          Tokyo,           2170,           1188,           2467,           1014,           1376,            394,              2
        Karachi,             to,      Guangzhou,           1921,           1096,           2265,           1105,           1376,            394,              2
          Tokyo,             to,        Bangkok,           2467,           1014,           2170,           1188,           1376,            394,              2
    Los Angeles,             to,       New York,            526,           1023,            864,            956,           1378,            394,              2
       New York,             to,    Los Angeles,            864,            956,            526,           1023,           1378,            394,              2
          Cairo,             to,          Delhi,           1646,           1063,           1993,           1068,           1388,            397,              2
          Delhi,             to,          Cairo,           1993,           1068,           1646,           1063,           1388,            397,              2
         Manila,             to,          Delhi,           2326,           1182,           1993,           1068,           1407,            401,              2
          Delhi,             to,         Manila,           1993,           1068,           2326,           1182,           1407,            401,              2
       Shanghai,             to,      Bangalore,           2323,           1052,           2001,           1195,           1409,            402,              2
      Bangalore,             to,       Shanghai,           2001,           1195,           2323,           1052,           1409,            402,              2
        Jakarta,             to,          Delhi,           2223,           1339,           1993,           1068,           1421,            405,              2
          Delhi,             to,        Jakarta,           1993,           1068,           2223,           1339,           1421,            405,              2
         Manila,             to,         Mumbai,           2326,           1182,           1970,           1147,           1430,            407,              2
         Mumbai,             to,         Manila,           1970,           1147,           2326,           1182,           1430,            407,              2
       Shanghai,             to,         Mumbai,           2323,           1052,           1970,           1147,           1462,            415,              2
         Mumbai,             to,       Shanghai,           1970,           1147,           2323,           1052,           1462,            415,              2
          Delhi,             to,       Istanbul,           1993,           1068,           1642,            958,           1471,            417,              2
       Istanbul,             to,          Delhi,           1642,            958,           1993,           1068,           1471,            417,              2
          Paris,             to,          Lagos,           1436,            871,           1452,           1241,           1481,            420,              2
          Lagos,             to,          Paris,           1452,           1241,           1436,            871,           1481,            420,              2
       Shenyang,             to,          Delhi,           2345,            948,           1993,           1068,           1487,            421,              2
          Delhi,             to,       Shenyang,           1993,           1068,           2345,            948,           1487,            421,              2
         Mumbai,             to,        Beijing,           1970,           1147,           2295,            966,           1488,            422,              2
        Beijing,             to,         Mumbai,           2295,            966,           1970,           1147,           1488,            422,              2
       Istanbul,             to,       Kinshasa,           1642,            958,           1526,           1312,           1490,            422,              2
      Bangalore,             to,        Beijing,           2001,           1195,           2295,            966,           1490,            422,              2
       Kinshasa,             to,       Istanbul,           1526,           1312,           1642,            958,           1490,            422,              2
        Beijing,             to,      Bangalore,           2295,            966,           2001,           1195,           1490,            422,              2
         Moscow,             to,        Karachi,           1719,            780,           1921,           1096,           1500,            425,              2
        Karachi,             to,         Moscow,           1921,           1096,           1719,            780,           1500,            425,              2
      Bangalore,             to,          Cairo,           2001,           1195,           1646,           1063,           1514,            428,              2
       Istanbul,             to,         Mumbai,           1642,            958,           1970,           1147,           1514,            428,              2
          Cairo,             to,      Bangalore,           1646,           1063,           2001,           1195,           1514,            428,              2
         Mumbai,             to,       Istanbul,           1970,           1147,           1642,            958,           1514,            428,              2
        Beijing,             to,        Jakarta,           2295,            966,           2223,           1339,           1519,            429,              2
        Jakarta,             to,        Beijing,           2223,           1339,           2295,            966,           1519,            429,              2
        Jakarta,             to,          Seoul,           2223,           1339,           2372,            989,           1521,            430,              2
          Seoul,             to,        Jakarta,           2372,            989,           2223,           1339,           1521,            430,              2
          Paris,             to,         Tehran,           1436,            871,           1797,            997,           1529,            432,              2
         Tehran,             to,          Paris,           1797,            997,           1436,            871,           1529,            432,              2
          Tokyo,             to,          Dhaka,           2467,           1014,           2094,           1109,           1539,            434,              2
          Dhaka,             to,          Tokyo,           2094,           1109,           2467,           1014,           1539,            434,              2
          Delhi,             to,          Seoul,           1993,           1068,           2372,            989,           1548,            437,              2
          Seoul,             to,          Delhi,           2372,            989,           1993,           1068,           1548,            437,              2
        Karachi,             to,        Jakarta,           1921,           1096,           2223,           1339,           1550,            437,              2
        Jakarta,             to,        Karachi,           2223,           1339,           1921,           1096,           1550,            437,              2
        Jakarta,             to,         Sydney,           2223,           1339,           2547,           1565,           1580,            445,              2
         Sydney,             to,        Jakarta,           2547,           1565,           2223,           1339,           1580,            445,              2
        Karachi,             to,        Beijing,           1921,           1096,           2295,            966,           1583,            445,              2
        Beijing,             to,        Karachi,           2295,            966,           1921,           1096,           1583,            445,              2
          Delhi,             to,         Moscow,           1993,           1068,           1719,            780,           1590,            447,              2
         Moscow,             to,          Delhi,           1719,            780,           1993,           1068,           1590,            447,              2
         London,             to,          Lagos,           1410,            845,           1452,           1241,           1592,            448,              2
          Lagos,             to,         London,           1452,           1241,           1410,            845,           1592,            448,              2
       New York,             to,           Lima,            864,            956,            837,           1357,           1607,            451,              2
           Lima,             to,       New York,            837,           1357,            864,            956,           1607,            451,              2
       Shanghai,             to,        Karachi,           2323,           1052,           1921,           1096,           1617,            454,              2
        Karachi,             to,       Shanghai,           1921,           1096,           2323,           1052,           1617,            454,              2
        Jakarta,             to,          Tokyo,           2223,           1339,           2467,           1014,           1625,            456,              2
          Tokyo,             to,        Jakarta,           2467,           1014,           2223,           1339,           1625,            456,              2
          Tokyo,             to,        Kolkata,           2467,           1014,           2074,           1122,           1630,            457,              2
        Kolkata,             to,          Tokyo,           2074,           1122,           2467,           1014,           1630,            457,              2
       Shenyang,             to,        Jakarta,           2345,            948,           2223,           1339,           1638,            459,              2
        Jakarta,             to,       Shenyang,           2223,           1339,           2345,            948,           1638,            459,              2
         Manila,             to,        Karachi,           2326,           1182,           1921,           1096,           1656,            464,              2
        Karachi,             to,         Manila,           1921,           1096,           2326,           1182,           1656,            464,              2
       Kinshasa,             to,         Tehran,           1526,           1312,           1797,            997,           1662,            465,              2
         Tehran,             to,       Kinshasa,           1797,            997,           1526,           1312,           1662,            465,              2
         Tehran,             to,         London,           1797,            997,           1410,            845,           1663,            465,              2
         London,             to,         Tehran,           1410,            845,           1797,            997,           1663,            465,              2
         Tehran,             to,        Bangkok,           1797,            997,           2170,           1188,           1676,            469,              2
        Bangkok,             to,         Tehran,           2170,           1188,           1797,            997,           1676,            469,              2
          Lagos,             to,         Tehran,           1452,           1241,           1797,            997,           1690,            472,              2
         Tehran,             to,          Lagos,           1797,            997,           1452,           1241,           1690,            472,              2
          Lagos,             to, Rio De Janeiro,           1452,           1241,           1094,           1466,           1691,            472,              2
 Rio De Janeiro,             to,          Lagos,           1094,           1466,           1452,           1241,           1691,            472,              2
      Bangalore,             to,       Shenyang,           2001,           1195,           2345,            948,           1693,            473,              2
       Shenyang,             to,      Bangalore,           2345,            948,           2001,           1195,           1693,            473,              2
          Seoul,             to,      Bangalore,           2372,            989,           2001,           1195,           1697,            474,              2
      Bangalore,             to,          Seoul,           2001,           1195,           2372,            989,           1697,            474,              2
       Shenyang,             to,         Mumbai,           2345,            948,           1970,           1147,           1698,            474,              2
         Mumbai,             to,       Shenyang,           1970,           1147,           2345,            948,           1698,            474,              2
      Bangalore,             to,       Istanbul,           2001,           1195,           1642,            958,           1720,            480,              2
